Q normint
15.7552 0.02
18.0065 0.04
22.8831 0.01
27.7973 1.0
28.6556 0.02
31.5349 0.14
32.3867 0.3
36.0141 0.01
37.0549 0.02
43.2417 0.01
45.2081 0.18
45.7946 0.1
52.5644 0.11
53.5774 0.2
55.6069 0.1
63.0889 0.03
64.7667 0.03
69.7184 0.15
70.4849 0.08
70.9145 0.07
72.0365 0.07
72.4184 0.08
77.9628 0.09
