Q normint
9.009 0.003
12.7406 0.002
13.8031 0.013
14.2444 0.022
15.2022 0.005
18.0179 0.004
18.7843 0.009
20.1447 0.02
21.7851 0.004
22.6974 0.025
22.9684 0.017
23.5744 0.1381
24.4904 0.1752
25.4812 0.014
26.0288 0.033
26.0949 0.0661
26.2654 0.965
27.0269 0.4665
27.6063 0.4234
28.3316 0.7658
28.9795 1.0
29.6715 0.4384
30.4043 0.1111
31.009 0.005
31.711 0.1261
32.4823 0.003
33.5757 0.015
34.1242 0.019
34.3052 0.001
34.7138 0.009
35.3422 0.001
35.9118 0.001
36.0358 0.001
36.425 0.005
37.1449 0.003
37.284 0.001
37.5684 0.013
37.8243 0.001
38.0596 0.001
38.2218 0.003
38.7489 0.001
39.1112 0.001
39.4006 0.001
40.1784 0.0511
40.2892 0.01
40.6802 0.041
40.7898 0.013
40.9165 0.002
41.4092 0.005
41.8966 0.019
42.1501 0.0971
42.5881 0.014
42.7332 0.001
43.3249 0.002
43.5701 0.001
44.492 0.1842
45.0447 0.0701
45.1594 0.1832
45.3949 0.0811
45.6065 0.0851
45.8397 0.0691
46.2429 0.019
46.3764 0.1552
46.6796 0.0651
47.1489 0.041
47.577 0.032
47.9657 0.0671
48.6212 0.005
48.9809 0.0811
49.2535 0.003
49.7535 0.005
50.0364 0.001
50.263 0.001
50.6108 0.001
50.9626 0.001
51.272 0.003
51.3591 0.004
51.4597 0.001
52.0575 0.006
52.1898 0.001
52.4459 0.018
52.531 0.0701
52.7985 0.004
52.9619 0.002
53.3948 0.001
53.9389 0.0511
54.0536 0.029
54.3458 0.004
54.5226 0.007
54.8937 0.005
55.2125 0.002
55.4235 0.033
55.5788 0.1041
55.9426 0.0541
56.151 0.007
56.353 0.004
56.5417 0.041
56.8991 0.0821
57.7749 0.005
57.9593 0.009
58.125 0.025
58.2787 0.007
58.6256 0.002
58.7314 0.003
58.8193 0.004
58.9706 0.004
59.1633 0.028
59.3432 0.001
59.6837 0.001
59.7996 0.001
59.9943 0.006
60.097 0.001
60.434 0.001
60.809 0.001
61.3319 0.002
61.4723 0.001
61.5566 0.001
61.6617 0.001
61.8463 0.001
62.0178 0.001
62.1294 0.001
62.4548 0.001
62.6692 0.008
62.8613 0.001
63.1447 0.002
63.422 0.003
63.6328 0.03
63.703 0.008
64.0207 0.006
64.1014 0.026
64.4549 0.004
64.8958 0.008
65.2077 0.024
65.3553 0.018
65.5862 0.006
65.9733 0.004
66.1085 0.003
66.5444 0.029
66.6221 0.04
66.926 0.018
67.1515 0.001
67.3506 0.031
67.453 0.0711
67.6257 0.009
67.7935 0.005
68.0922 0.002
68.2484 0.02
68.3895 0.003
68.5451 0.016
68.8154 0.003
68.9053 0.023
69.0156 0.002
69.2739 0.004
69.4274 0.003
69.8179 0.003
69.9849 0.017
70.1818 0.001
70.3622 0.027
70.6844 0.001
70.8737 0.002
